iter	Passed	Remaining
185	1387	20995
186	1396	21012
187	1404	21003
188	1410	20984
189	1417	20961
190	1424	20945
191	1431	20938
192	1439	20940
193	1447	20933
194	1454	20925
195	1461	20905
196	1468	20894
197	1476	20888
198	1483	20877
199	1490	20860
200	1496	20839
201	1503	20832
202	1511	20824
203	1518	20817
204	1525	20802
205	1532	20785
206	1539	20773
207	1545	20750
208	1553	20743
209	1559	20722
210	1566	20708
211	1573	20689
212	1580	20680
213	1586	20657
214	1593	20641
215	1602	20653
216	1609	20646
217	1618	20649
218	1622	20601
219	1629	20587
220	1638	20603
221	1645	20588
222	1652	20576
223	1660	20573
224	1667	20561
225	1673	20546
226	1680	20530
227	1687	20517
228	1695	20511
229	1703	20513
230	1710	20504
231	1717	20486
232	1726	20500
233	1733	20496
234	1740	20479
235	1747	20462
236	1754	20454
237	1762	20458
238	1770	20451
239	1778	20449
240	1784	20429
241	1790	20410
242	1798	20406
243	1805	20391
244	1809	20345
245	1815	20327
246	1821	20306
247	1829	20298
248	1836	20289
249	1843	20277
250	1850	20266
251	1857	20253
252	1863	20235
253	1872	20248
254	1881	20249
255	1887	20235
256	1894	20222
257	1902	20215
258	1908	20197
259	1915	20187
260	1923	20181
261	1930	20178
262	1938	20175
263	1942	20131
264	1948	20110
265	1955	20103
266	1963	20096
267	1970	20085
268	1977	20081
269	1985	20071
270	1992	20068
271	2000	20060
272	2007	20052
273	2014	20039
274	2021	20029
275	2028	20018
276	2035	20012
277	2042	20003
278	2050	19998
279	2058	19992
280	2065	19988
281	2073	19983
282	2079	19965
283	2085	19948
284	2093	19939
285	2100	19930
286	2107	19917
287	2114	19908
288	2121	19903
289	2127	19882
290	2134	19874
291	2142	19869
292	2149	19859
293	2156	19850
294	2163	19839
295	2170	19830
296	2177	19819
297	2184	19804
298	2188	19766
299	2195	19757
300	2203	19754
301	2210	19747
302	2217	19735
303	2223	19722
304	2230	19709
305	2236	19686
306	2243	19675
307	2251	19677
308	2258	19671
309	2267	19674
310	2274	19664
311	2282	19661
312	2288	19648
313	2295	19639
314	2301	19620
315	2308	19610
316	2315	19598
317	2323	19596
318	2332	19599
319	2339	19589
320	2345	19572
321	2352	19565
322	2360	19560
323	2367	19554
324	2373	19538
325	2381	19530
326	2387	19520
327	2395	19516
328	2402	19504
329	2409	19493
330	2416	19488
331	2423	19478
332	2432	19478
333	2438	19467
334	2446	19458
335	2454	19461
336	2462	19456
337	2469	19445
338	2476	19442
339	2484	19435
340	2491	19430
341	2499	19425
342	2507	19420
343	2514	19415
344	2521	19407
345	2527	19390
346	2535	19381
347	2542	19374
348	2548	19360
349	2556	19356
350	2562	19341
351	2569	19327
352	2577	19329
353	2585	19328
354	2593	19326
355	2601	19320
356	2607	19306
357	2614	19294
358	2621	19283
359	2629	19281
360	2635	19266
361	2642	19259
362	2650	19253
363	2656	19239
364	2663	19229
365	2670	19220
366	2678	19217
367	2685	19209
368	2694	19211
369	2701	19201
370	2708	19192
371	2715	19185
372	2723	19177
373	2731	19177
374	2738	19170
375	2745	19159
376	2752	19149
377	2760	19148
378	2768	19143
379	2776	19140
380	2783	19135
381	2791	19130
382	2798	19121
383	2805	19115
384	2813	19109
385	2820	19100
386	2829	19104
387	2837	19099
388	2843	19088
389	2850	19078
390	2857	19069
391	2865	19061
392	2872	19054
393	2879	19045
394	2886	19039
395	2893	19029
396	2900	19020
397	2908	19016
398	2915	19005
399	2923	19005
400	2930	18996
401	2938	18992
402	2945	18984
403	2952	18970
404	2960	18966
405	2966	18956
406	2974	18947
407	2980	18934
408	2987	18926
409	2994	18919
410	3002	18911
411	3009	18902
412	3016	18894
413	3023	18886
414	3031	18882
415	3038	18873
416	3045	18866
417	3053	18858
418	3061	18861
419	3069	18858
420	3077	18853
421	3085	18850
422	3092	18843
423	3099	18830
424	3107	18829
425	3114	18821
426	3121	18812
427	3128	18801
428	3135	18793
429	3142	18780
430	3148	18768
431	3155	18759
432	3163	18752
433	3170	18746
434	3177	18736
435	3184	18729
436	3192	18723
437	3198	18710
438	3205	18700
439	3212	18691
440	3219	18683
441	3226	18670
442	3233	18662
443	3240	18656
444	3247	18648
445	3254	18638
446	3262	18635
447	3270	18628
448	3277	18621
449	3285	18617
450	3293	18612
451	3300	18606
452	3308	18601
453	3315	18594
454	3323	18591
455	3331	18587
456	3339	18582
457	3347	18577
458	3354	18569
459	3361	18560
460	3367	18548
