iter	Logloss
123	0.6534791037
124	0.6534160784
125	0.653368024
126	0.653283388
127	0.6531893736
128	0.6531189747
129	0.6530601866
130	0.6530211414
131	0.6529229677
132	0.6528223841
133	0.6527872492
134	0.6527524945
135	0.6527393331
136	0.6526539574
137	0.6525786544
138	0.6525361504
139	0.6524748733
140	0.6523946221
141	0.6523105579
142	0.6522015779
143	0.6521411069
144	0.6521217294
145	0.6521022793
146	0.6520861324
147	0.6520582307
148	0.6520136356
149	0.6519777073
150	0.6519011653
151	0.6518505035
152	0.6518067171
153	0.6517164605
154	0.6516349985
155	0.6516156268
156	0.6516003332
157	0.6515552408
158	0.6515368031
159	0.6514957511
160	0.6514650884
161	0.6513941475
162	0.6513017246
163	0.6512544665
164	0.6512170301
165	0.6511789084
166	0.6511348531
167	0.6510959745
168	0.6510225316
169	0.6509796542
170	0.6509705669
171	0.6509554383
172	0.6508761461
173	0.6508640041
174	0.650801099
175	0.6507870781
176	0.6507800662
177	0.6507101201
178	0.6506474328
179	0.6506139157
180	0.6505874684
181	0.6505339256
182	0.6505102864
183	0.6504758536
184	0.6503783343
185	0.6503283032
186	0.6503115584
187	0.6502654686
188	0.6502334338
189	0.6501996736
190	0.6501557662
191	0.6501022398
192	0.6500724684
193	0.6500352759
194	0.6499920585
195	0.6499371776
196	0.6499160209
197	0.6498652005
198	0.6497957366
199	0.6497420858
200	0.6496807746
201	0.649626728
202	0.6495867745
203	0.6495361711
204	0.649485614
205	0.6494748766
206	0.6494561832
207	0.649443699
208	0.64940627
209	0.6493759019
210	0.6493354381
211	0.6493119485
212	0.6492624821
213	0.649243386
214	0.6492300554
215	0.6491996443
216	0.6491744213
217	0.6491470958
218	0.6491428264
219	0.6491055544
220	0.6490469698
221	0.6490135483
222	0.6489767175
223	0.6489468441
224	0.6489285574
225	0.648912455
226	0.6488844509
227	0.6488330888
228	0.6488002961
229	0.6487846965
230	0.6487660321
231	0.6487515248
232	0.6487084488
233	0.6486876763
234	0.648659068
235	0.6486182665
236	0.6485834036
237	0.6485495039
238	0.648509155
239	0.6484841844
240	0.6484682712
241	0.6484550899
242	0.6484112594
243	0.648401414
244	0.6483937948
245	0.6482971058
246	0.6482644744
247	0.6482073411
248	0.6481814256
249	0.6481582493
250	0.6481253991
251	0.648124005
252	0.648074574
253	0.648009966
254	0.6479729842
255	0.6479452406
256	0.6479022909
257	0.6478799907
258	0.6478531171
259	0.6478375593
260	0.6478140334
261	0.6477890171
262	0.6477812818
263	0.6477683818
264	0.6477492352
265	0.6477116403
266	0.6476701851
267	0.6476547873
268	0.6476140702
269	0.6475425215
270	0.647528861
271	0.6474952396
272	0.6474741916
273	0.6474633402
274	0.6474238946
275	0.6473967097
276	0.6473810155
277	0.6473628576
278	0.6473280025
279	0.647307467
280	0.6472694786
281	0.6472224483
282	0.647220767
283	0.6472004272
284	0.6471669449
285	0.6471083295
286	0.6470921823
287	0.6470633741
288	0.6469912661
289	0.646985365
290	0.6469348442
291	0.6468699862
292	0.6468432469
293	0.6467826634
294	0.6467341663
295	0.6467162974
296	0.6467005012
297	0.6466670306
298	0.6466609987
299	0.6466489688
300	0.646614215
301	0.6465996491
302	0.6465302036
303	0.6465140317
304	0.6464927634
305	0.6464118119
306	0.6463546875
307	0.6463099961
308	0.6462700986
309	0.6462424846
310	0.6462300278
311	0.6461478675
312	0.6460986037
313	0.6460416654
314	0.6459921074
315	0.6459684746
316	0.645946757
317	0.6459030851
318	0.6458446109
319	0.6458185429
320	0.6457975577
321	0.6457425452
322	0.645634089
323	0.6455717471
324	0.645551922
325	0.645531313
326	0.6455000717
327	0.6454573336
328	0.6453881299
329	0.6453573075
330	0.6453343422
331	0.6453219828
332	0.645246774
333	0.645212214
334	0.6451777352
335	0.6451545151
336	0.6451141243
337	0.6450925545
338	0.6450575217
339	0.6450275747
340	0.6449971057
341	0.6449701918
342	0.6449318508
343	0.6449149804
344	0.6448903774
345	0.6448057491
346	0.6447776853
347	0.6447639132
348	0.6447388389
349	0.6447073748
350	0.6446273439
351	0.6445749591
352	0.6445426359
353	0.6444248138
354	0.644405676
355	0.6443697279
356	0.644352691
357	0.6443136819
358	0.644198591
359	0.6441893204
360	0.6441710967
361	0.6441131114
362	0.6440520374
363	0.6440200778
364	0.6439715237
365	0.6439374012
366	0.6439175671
367	0.6439030922
368	0.6438661973
369	0.6438002986
370	0.6437447071
371	0.6437313303
372	0.6436340214
373	0.6436250822
374	0.6436091028
375	0.6435440749
376	0.6435211733
377	0.6434650547
378	0.6434483658
379	0.6434191689
380	0.6433979581
381	0.6433726424
382	0.6433463401
383	0.6433021979
384	0.6432596588
385	0.6432176564
386	0.6431948708
387	0.6431874338
388	0.6431226231
389	0.6430788188
390	0.6430294513
391	0.643002789
392	0.6429453523
393	0.6428882313
394	0.6428740968
395	0.6428245733
396	0.642804401
397	0.6427819498
398	0.6427559505
399	0.6427035791
400	0.6426139104
401	0.6425863403
402	0.6425648416
403	0.6425418645
404	0.6425219085
405	0.6424508892
406	0.6424092758
407	0.6423944772
408	0.6423419888
409	0.6422958282
410	0.6422621979
411	0.6422477748
412	0.6422274674
413	0.642202879
414	0.6421454111
415	0.6421214066
416	0.6420880718
417	0.6420533486
418	0.6420505253
419	0.6420116706
420	0.6419994963
421	0.6419774548
422	0.6419192603
423	0.6418847587
424	0.6417909808
425	0.6417741006
426	0.6417078865
427	0.641673301
428	0.6416385038
429	0.6416273168
430	0.6416150116
431	0.6415620408
432	0.6415416755
433	0.6415278196
434	0.6414836315
435	0.6414593195
436	0.6414032
437	0.6413796953
438	0.6413702918
439	0.6413628767
440	0.6413548988
441	0.641339817
442	0.6412818692
443	0.6412124045
444	0.6411656241
445	0.6411180819
446	0.6411018186
447	0.6410749162
448	0.6410495196
449	0.6410323268
450	0.6410136165
451	0.6409922962
452	0.6409629394
453	0.6409178789
454	0.6408979231
455	0.6408769528
456	0.6408438026
457	0.6408390993
458	0.6407628509
459	0.6407532409
460	0.6407458743
