iter	Logloss
0	0.6913543869
1	0.6898079315
2	0.6882387787
3	0.686904951
4	0.68551649
5	0.6840836988
6	0.6829336519
7	0.6816620759
8	0.6804868091
9	0.6793565681
10	0.6783813427
11	0.6772462194
12	0.6763866575
13	0.6754567756
14	0.6746688386
15	0.6739008545
16	0.6733129429
17	0.6726188853
18	0.6718128458
19	0.6711041011
20	0.670449199
21	0.6698875
22	0.6693725665
23	0.6689572911
24	0.6685730882
25	0.6679806293
26	0.6676528927
27	0.6671685869
28	0.66667907
29	0.666288357
30	0.6659024396
31	0.6654409565
32	0.6651359193
33	0.6647723952
34	0.6644600614
35	0.6641374136
36	0.663981545
37	0.6636082866
38	0.6632419645
39	0.6629836729
40	0.6628213764
41	0.662506754
42	0.6622237395
43	0.6620639521
44	0.6617694834
45	0.6615583194
46	0.6612989608
47	0.6610948828
48	0.6608712238
49	0.6606824044
50	0.6604832441
51	0.6603520302
52	0.6602600964
53	0.6601114215
54	0.6600228305
55	0.6598486928
56	0.65969773
57	0.6595203518
58	0.6593381586
59	0.6592075566
60	0.6590083584
61	0.6588079748
62	0.6587225645
63	0.6585933421
64	0.6584576344
65	0.6583742465
66	0.6581935444
67	0.6580679329
68	0.6579487101
69	0.6578040856
70	0.6576944337
71	0.6575411438
72	0.657425974
73	0.6572942746
74	0.6571661071
75	0.657043943
76	0.6569262947
77	0.6568590811
78	0.656787445
79	0.6566413111
80	0.6565774316
81	0.6565458896
82	0.6564428766
83	0.6563369459
84	0.6562811461
85	0.6561479295
86	0.656047084
87	0.6559226412
88	0.65584709
89	0.655723084
90	0.6556793539
91	0.6555993454
92	0.6554968344
93	0.655397376
94	0.6552971375
95	0.6552533716
96	0.6551761435
97	0.6550801232
98	0.6549775359
99	0.6549379804
100	0.65486239
101	0.654834191
102	0.6547394244
103	0.6546995654
104	0.6546318708
105	0.6545669811
106	0.6545350886
107	0.6544263793
108	0.6543542495
109	0.6543223838
110	0.6542003567
111	0.6541340048
112	0.6540821507
113	0.6540303461
114	0.6539799911
115	0.6539154557
116	0.6538545336
117	0.6538094776
118	0.653769663
119	0.6537146892
120	0.653654441
121	0.6536230373
122	0.6535518543
